,2020-09-26,2019-09-28,2018-09-29,2017-09-30
totalLiab,258549000000,248028000000,258578000000,241272000000
totalStockholderEquity,65339000000,90488000000,107147000000,134047000000
otherCurrentLiab,47867000000,43242000000,39293000000,38099000000
totalAssets,323888000000,338516000000,365725000000,375319000000
commonStock,50779000000,45174000000,40201000000,35867000000
otherCurrentAssets,11264000000,12352000000,12087000000,13936000000
retainedEarnings,14966000000,45898000000,70400000000,98330000000
otherLiab,46108000000,50503000000,48914000000,43251000000
treasuryStock,-406000000,-584000000,-3454000000,-150000000
otherAssets,33952000000,32978000000,22283000000,18177000000
cash,38016000000,48844000000,25913000000,20289000000
totalCurrentLiabilities,105392000000,105718000000,115929000000,100814000000
shortLongTermDebt,8773000000,10260000000,8784000000,6496000000
otherStockholderEquity,-406000000,-584000000,-3454000000,-150000000
propertyPlantEquipment,45336000000,37378000000,41304000000,33783000000
totalCurrentAssets,143713000000,162819000000,131339000000,128645000000
longTermInvestments,100887000000,105341000000,170799000000,194714000000
netTangibleAssets,65339000000,90488000000,107147000000,134047000000
shortTermInvestments,52927000000,51713000000,40388000000,53892000000
netReceivables,37445000000,45804000000,48995000000,35673000000
longTermDebt,98667000000,91807000000,93735000000,97207000000
inventory,4061000000,4106000000,3956000000,4855000000
accountsPayable,42296000000,46236000000,55888000000,44242000000
